Case,gate length,Theta,Phi,dt,combination,total time,computing time
case1,18,1.2478207148476808,0.10067052662291652,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 0, 4, 0, 1, 3]",46.800000000000004,2812.1246948242188
case2,26,2.448694439882592,0.7570716131051614,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",67.60000000000001,21.3043110370636
case3,33,3.0330953576591266,3.0373883707123492,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 1]",85.8,124.06301593780518
case4,4,0.4360344265135841,2.8176102736553825,2.6,"[1, 1, 3, 3]",10.4,1.129917860031128
case5,3,0.4572779472060293,1.7137075641498158,2.6,"[1, 1, 3]",7.800000000000001,0.2972564697265625
case6,18,1.3524978356849198,0.6425062415086805,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 1, 1, 0, 3]",46.800000000000004,317.9691069126129
case7,33,2.601970209262102,3.528516756054406,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 0, 1, 4, 0]",85.8,2814.6113996505737
case8,33,2.6718733964268253,0.7410726595430185,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3, 2, 4, 4]",85.8,1316.4077398777008
case9,26,2.152335909149893,3.6662270802100947,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 4, 4]",67.60000000000001,286.7250826358795
case10,33,2.7224606372991893,0.8231869236071871,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 0, 2, 2, 4]",85.8,954.1680207252502
case11,1,1.7670263366488306,3.3176817470266475,2.6,[-1],2.6,3778.9475009441376
case12,1,0.2165108056169839,3.105241718023503,2.6,[3],2.6,0.015628576278686523
case13,1,1.9180036728849608,6.263358017290557,2.6,[-1],2.6,3883.111191511154
case14,33,2.6716724504765934,3.7421866122704897,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 4, 0, 3]",85.8,1366.06667137146
case15,2,0.2908604869343794,4.4537199744196965,2.6,"[2, 2]",5.2,0.10988998413085938
case16,3,0.3363551101671399,3.766655714735414,2.6,"[3, 3, 2]",7.800000000000001,0.4073152542114258
case17,32,2.956304217860623,2.023331867900569,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1]",83.2,44.683945178985596
case18,19,1.456335932144226,0.1707179742230896,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 0, 4, 0, 3]",49.4,426.93652296066284
case19,26,2.4996051780728448,2.128675481342387,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",67.60000000000001,21.1313214302063
case20,10,0.7711567658551199,2.9228778990664943,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2]",26.0,28.80274271965027
case21,1,1.9989512821500923,5.188811286731854,2.6,[-1],2.6,3814.102458000183
case22,33,2.7434096293902464,1.0993144610047494,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 2, 0, 4]",85.8,777.2658870220184
case23,11,0.9552854867325795,3.7561114184093776,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 0, 2]",28.6,11.870069980621338
case24,11,0.7958215400978091,6.085347620746253,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 0, 0, 4]",28.6,58.03230690956116
case25,33,2.675241783655384,2.542129472487337,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 2, 4, 1, 1]",85.8,1521.767962694168
case26,19,1.474155606720335,5.030584140757887,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 3, 1, 3, 3, 2, 2, 4]",49.4,503.4675352573395
case27,33,2.7664108405058405,6.117493147100867,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 3, 0]",85.8,530.4512164592743
case28,33,2.738405469120682,1.5194012756178055,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 0, 4, 4]",85.8,725.6148726940155
case29,18,1.2559563290155338,0.6112215481237913,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 0, 2, 2, 1, 4]",46.800000000000004,2596.118644475937
case30,4,0.4408744104087406,1.1953480768719926,2.6,"[4, 4, 1, 1]",10.4,1.1151728630065918
case31,26,2.034886959061724,0.4803167117407967,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 1, 2, 3, 1]",67.60000000000001,1509.5380101203918
case32,26,2.1632573531672543,2.4125654505291965,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 3, 0, 2]",67.60000000000001,258.42086601257324
case33,1,1.1318534416800243,6.195143348128271,2.6,[-1],2.6,4060.3369538784027
case34,19,1.7355950858091096,3.2548704451062203,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3]",49.4,16.06609296798706
case35,26,2.245236647373645,2.9505098244146986,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 0, 2, 2]",67.60000000000001,150.78188395500183
case36,18,1.600742436543564,4.263753299074972,2.6,"[2, 2, 4, 4, 1, 1, 3, 2, 4, 4, 4, 4, 1, 1, 3, 3, 2, 2]",46.800000000000004,97.55126953125
case37,11,1.1470852728664103,0.6096059795192356,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",28.6,5.564998626708984
case38,11,0.7390048180720009,5.200942916570249,2.6,"[2, 2, 4, 4, 1, 1, 3, 2, 0, 4, 1]",28.6,98.45404696464539
case39,2,0.30641272021678434,2.792663945042938,2.6,"[3, 3]",5.2,0.11028766632080078
case40,33,2.909270393457741,1.5163593797540174,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4]",85.8,189.03465485572815
case41,26,2.28045928309998,6.1304374497036624,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 3]",67.60000000000001,79.29415774345398
case42,1,1.2261106413588232,5.048970857583476,2.6,[-1],2.6,3917.871328353882
case43,18,1.296372002885277,5.783221575443758,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 1, 1, 3, 2, 2, 0, 2, 4]",46.800000000000004,1247.7701857089996
case44,33,2.7291634265169726,4.006214845904803,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 4, 3, 3]",85.8,924.1733694076538
case45,4,0.5149922206288853,0.8813188059859339,2.6,"[4, 4, 1, 1]",10.4,1.0980188846588135
