Case,gate length,Theta,Phi,dt,combination,fidelity,total time,computing time
case1,34,2.830641673,6.184454668,2.59,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 3, 2, 0, 0]",0.99991,88.06,21.62622570991516
case2,33,2.695121453,3.707525656,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 0, 1, 3]",0.99993,85.8,0.7988831996917725
case3,10,0.59483917,4.029904205,2.38,"[2, 2, 4, 4, 1, 2, 3, 2, 2, 4]",0.99998,23.799999999999997,18.54175329208374
case4,18,1.409021761,4.784701219,2.65,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 0, 3, 2]",0.99999,47.699999999999996,1.5526678562164307
case5,18,1.40661964,2.22092789,2.58,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 2, 0]",0.99997,46.44,1.0837736129760742
