Case,gate length,Theta,Phi,dt,combination,fidelity,total time,computing time
case1,32,3.100289489,0.582968772,2.619,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",0.9965832492446753,83.808,213.84992694854736
case2,26,2.134124023,4.144520196,2.606,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 1, 3, 3, 3]",0.9997863488926031,67.756,214.2062475681305
case3,18,1.271542881070328,6.039484095388638,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 1, 3, 0, 2, 4, 4, 4, 1]",0.9999837319105312,46.800000000000004,142.21195530891418
case4,33,2.73715693,4.99128374,2.615,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 1, 3, 3, 2]",0.9999176557748435,86.295,211.45700192451477
case5,4,0.537675156,5.799751061,2.659,"[2, 4, 4, 4]",0.9906258867699501,10.636,6.088501453399658
case6,1,0.244221304,2.338952862,4.0,[3],0.9975558230006453,4.0,4.4232892990112305
case7,33,2.629869773804681,5.909042108789224,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 4, 1, 3, 2, 2, 4]",0.9999400743775215,85.8,36.996126890182495
case8,19,1.866285163,1.363645819,2.58,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 4, 4, 1, 1, 3]",0.9940545755420281,49.02,215.09048533439636
case9,10,1.130817972,3.157379821,2.663,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",0.9922442308609175,26.63,235.5686550140381
case10,2,0.30875884,3.99706582,3.373,"[2, 2]",0.9978393926019763,6.746,5.21755838394165
case11,11,0.650818247,0.448423509,2.6,"[4, 4, 1, 1, 3, 3, 4, 2, 1, 1, 3]",0.9999887976961273,28.6,8.187104940414429
case12,26,2.592201871,2.062914862,2.586,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",0.9917481404615246,67.23599999999999,234.32629942893982
case13,26,2.559975637,4.444184364,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",0.9948700856176076,67.60000000000001,218.1085810661316
case14,10,0.722999488,5.850155805,2.592,"[4, 4, 1, 1, 3, 3, 2, 4, 1, 1]",0.9998349241113715,25.92,214.99480414390564
case15,26,2.046896807,4.648745253,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 0, 3, 1, 2]",0.9999843553975047,67.60000000000001,0.30252790451049805
case16,32,3.037948881,5.468391552,2.609,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",0.9911752860879136,83.488,218.510591506958
case17,26,2.508223055,5.39752034,2.601,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",0.9986582106691989,67.626,217.13852405548096
case18,19,1.578592342,0.153885485,2.619,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 2, 2, 2, 4, 4, 4, 1]",0.9999995770806314,49.761,215.97598147392273
case19,5,0.5836398,2.83388707,2.672,"[1, 1, 1, 3, 2]",0.993564013666757,13.360000000000001,12.863897562026978
case20,32,3.04576268,3.43151083,2.605,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3]",0.9945226344727802,83.36,217.79465770721436
case21,18,1.774827349,3.902268003,2.606,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",0.9981767767550858,46.908,217.95601511001587
