Case,gate length,Theta,Phi,dt,combination,fidelity,total time,computing time
case33,18,1.814196594,4.758187521,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",0.9919733566020271,46.800000000000004,223.48899960517883
case34,10,0.847540964,5.560573829,2.6,"[4, 4, 1, 0, 3, 3, 2, 2, 4, 4]",0.9998821289713352,26.0,218.76437306404114
case35,29,2.779512634,5.977989842,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",0.9984886898950098,75.4,226.7407341003418
case36,10,0.95490933,1.76151471,2.6,"[1, 3, 3, 2, 4, 4, 4, 1, 1, 3]",0.9982358382096376,26.0,221.6964201927185
case37,18,1.623083773,2.694215924,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 2, 4, 4, 4, 1, 1, 3, 3]",0.9923639888429627,46.800000000000004,221.1926724910736
case38,18,1.612411187,3.779283758,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 1, 3, 2, 2]",0.9998266923706907,46.800000000000004,221.83516454696655
case39,1,0.227429732,0.735329481,2.6,[1],0.995360904671719,2.6,0.008342266082763672
case40,5,0.514948429,6.073073633,2.6,"[2, 2, 4, 4, 4]",0.9979447477540568,13.0,8.639694452285767
case41,33,2.610517958,5.145321941,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0, 4, 0, 3, 3, 2, 2]",0.9999978041544728,85.8,224.30254292488098
case42,26,2.227373026,4.01027458,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 0, 3, 3, 2]",0.9999965880471458,67.60000000000001,222.01902389526367
case43,19,1.5721203527688583,5.189201362534766,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 2, 4, 1, 3, 3, 2, 2, 2, 4]",0.9999483787526086,49.4,228.69707226753235
case44,26,2.515867763,6.063930536,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",0.9978436455316828,67.60000000000001,221.9420027732849
case45,12,1.216379866,3.258974636,2.6,"[1, 3, 3, 2, 2, 4, 1, 1, 1, 3, 3, 2]",0.9947216769449293,31.200000000000003,242.84225916862488
case46,26,1.99643581137622,5.228271775724472,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 2, 4, 4, 4, 1]",0.9999768789456924,67.60000000000001,265.6715364456177
case47,26,2.086355789,2.566765153,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 4, 1, 1, 1]",0.9994175634466572,67.60000000000001,232.07411313056946
case48,33,2.777954074,2.01754042,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0, 4, 4, 0, 1]",0.999872072493784,85.8,273.1418147087097
case49,18,1.280609031,2.98367735,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 0, 4, 0, 3, 1, 3]",0.9999998927533978,46.800000000000004,243.34699153900146
