Case,gate length,Theta,Phi,dt,combination,fidelity,total time,computing time
case1,27,2.082621838587949,1.798123158743712,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 2, 4, 4, 1]",0.9995806535462969,70.2,216.4790325164795
case2,18,1.624563371,1.100188055,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 3, 2, 2, 2, 4, 4, 1, 1]",0.992514881985467,46.800000000000004,187.76917910575867
case3,33,2.886956159,0.202508432,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 2, 4]",0.9988966301899224,85.8,189.7893123626709
case4,26,2.160758293,3.997017297,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0, 1, 3, 3, 3, 3]",0.9999914327850754,67.60000000000001,215.5742905139923
case5,18,1.768065345,3.864174014,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",0.9981612270533344,46.800000000000004,237.60942769050598
case6,26,2.427209128939753,1.2666855357553115,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",0.9985373127355148,67.60000000000001,233.40149116516113
case7,26,2.5337152874429654,0.8567464395049673,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",0.9953682625717055,67.60000000000001,233.36639523506165
case8,2,0.3077339781271825,2.133264851009133,2.6,"[3, 3]",0.9957076087502125,5.2,0.0796353816986084
case9,26,2.52980499,3.713918027,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",0.9962294000020016,67.60000000000001,235.2520833015442
case10,11,0.95732489,6.039214146,2.6,"[4, 4, 1, 1, 1, 3, 2, 2, 4, 4, 4]",0.9999811218179394,28.6,230.57237195968628
case11,27,2.147201082,0.084519346,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 2, 3, 2, 2, 2, 2, 4]",0.9999950161308633,70.2,210.38042569160461
case12,33,2.749984812,2.661661943,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 3, 1]",0.9999869936573402,85.8,190.2569191455841
case13,33,2.648936464,0.465976462,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 0, 3, 1, 2, 2, 4, 4]",0.999994027175747,85.8,189.23158073425293
case14,13,1.27850165,5.145629633,2.6,"[3, 2, 2, 4, 4, 1, 1, 1, 3, 3, 2, 2, 4]",0.9949931664204021,33.800000000000004,190.39288449287415
case15,13,1.170202605,2.00164969,2.6,"[4, 1, 1, 3, 3, 2, 2, 2, 4, 4, 1, 1, 3]",0.9997148623015928,33.800000000000004,188.3989224433899
case16,25,2.488600126,3.146250473,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",0.9929354606725551,65.0,188.4738495349884
case17,18,1.806300861,6.083598642,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",0.9926155058751279,46.800000000000004,186.98486256599426
case18,5,0.4925059606084501,4.5557194084603845,2.6,"[3, 3, 2, 2, 2]",0.9986384740923192,13.0,7.372467517852783
case19,27,2.406692091,1.922337539,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 2]",0.99891570526677,70.2,190.1325240135193
case20,10,0.906130566,4.564714954,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 2]",0.9999513848899408,26.0,189.00715231895447
case21,18,1.402002268,5.644524976,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 0, 2, 2, 4, 4, 1]",0.9999572546509397,46.800000000000004,187.6119601726532
case22,3,0.3584624700553284,2.791915299626797,2.6,"[3, 3, 3]",0.9967467286835965,7.800000000000001,0.28802943229675293
case23,18,1.806604088,4.691692554,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",0.9953593476872706,46.800000000000004,186.61650967597961
case24,27,2.677458148,6.031883911,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",0.993496784415318,70.2,188.34825778007507
case25,11,0.85975965,2.193898804,2.6,"[1, 3, 3, 2, 2, 0, 4, 0, 1, 3, 3]",0.999981680609863,28.6,185.03230381011963
case26,10,0.765141358,5.856155252,2.6,"[4, 4, 1, 3, 3, 2, 2, 4, 2, 4]",0.9999788169527533,26.0,184.80597567558289
case27,3,0.3984502711741682,5.448608804697578,2.6,"[2, 4, 4]",0.9964659013494657,7.800000000000001,0.29534292221069336
case28,3,0.416853949,3.800275605,2.6,"[3, 2, 2]",0.9955609708276609,7.800000000000001,0.2833867073059082
case29,18,1.46439829,3.92733472,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 0, 1, 1, 2, 3, 2, 2]",0.9999965175526068,46.800000000000004,186.40262866020203
case30,27,2.629052473,3.196178602,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",0.9942226797604232,70.2,188.070552110672
