gate lenght,Theta,Phi,dt,combination,total time,computing time
15,2.531676625,6.124067612,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4]",75,30.36770725
13,2.021689203,2.05496921,5,"[2, 4, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 1]",65,117.6904778
1,0.293763018,0.230976833,5,[1],5,0.012995243
0,0.148414695,2.449438964,5,[],0,0.002000332
2,0.397439633,3.69513582,5,"[3, 2]",10,0.666139603
9,1.232186173,2.852921141,5,"[2, 4, 1, 1, 3, 2, 4, 3, 3]",45,61.62786651
19,3.094638054,2.372296445,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 2, 2, 4]",95,317.0587723
9,1.359384204,5.826827069,5,"[1, 3, 2, 2, 4, 1, 3, 2, 4]",45,36.69852042
10,1.510188535,0.986190157,5,"[1, 3, 2, 2, 4, 1, 3, 2, 4, 1]",50,40.07978415
15,2.493766027,3.215934521,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3]",75,35.35830808
9,1.306165443,0.047243471,5,"[1, 3, 2, 4, 1, 3, 3, 2, 4]",45,43.02850294
12,1.897540094,4.349246509,5,"[1, 3, 2, 4, 4, 1, 3, 2, 4, 1, 3, 2]",60,116.6471891
0,0.076346193,2.265223658,5,[],0,0.003000021
13,2.255346784,3.495074673,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3]",65,13.54499221
17,2.814100617,5.813704344,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 4, 4]",85,121.742501
0,0.142479661,4.143259433,5,[],0,0.002000809
19,3.037673487,5.939750435,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 3, 3, 2, 4]",95,326.8819425
1,0.222774672,0.544682051,5,[1],5,0.154034376
9,1.585852083,0.410903706,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1]",45,3.610797167
15,2.522502756,6.034351011,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4]",75,30.33269954
2,0.362428079,1.85382375,5,"[1, 3]",10,0.619136095
14,2.413430658,1.992074918,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1]",70,41.9092567
1,0.20814575,3.656955999,5,[2],5,0.156034708
5,0.747467618,2.673658958,5,"[2, 4, 4, 1, 3]",25,6.089461327
11,1.89020783,3.303545154,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2]",55,7.218594313
18,3.012551661,4.857537983,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 2, 2]",90,189.4407799
3,0.589359921,1.839925814,5,"[4, 1, 1]",15,1.405310154
7,1.187363081,0.426200198,5,"[2, 4, 1, 3, 2, 4, 4]",35,2.759609222
14,2.334216415,1.206065801,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3]",70,26.30918694
16,2.74322067,4.830946723,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 2]",80,69.06965852
15,2.417286975,5.496327714,5,"[2, 4, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 2]",75,135.7962823
4,0.673946639,2.739774173,5,"[2, 4, 3, 3]",20,2.467544317
0,0.167776207,1.984887977,5,[],0,0.002007723
16,2.439703513,4.035504817,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4]",80,272.7793634
19,3.038709429,2.973566936,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 1, 2, 2, 4, 3, 3]",95,322.0054913
9,1.708024193,3.647234725,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2]",45,3.226712704
15,2.647267541,0.056457601,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 2, 4]",75,36.07125902
2,0.43019266,4.707715881,5,"[2, 2]",10,0.839185953
14,2.293678539,0.888744097,5,"[1, 3, 2, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1]",70,90.29336166
