Case,gate length,Theta,Phi,Omega,dt,combination,total time,computing time
case36,1,1.7646580467699793,5.606643057252664,1.2829147990286263,2.6,[-1],2.6,2927.147311925888
case37,26,2.093478075715291,5.236022729348122,2.201828959202728,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 1, 2, 0, 4]",67.60000000000001,481.4187638759613
case38,27,2.0873321887233964,6.104024161703541,4.899278914420116,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 0, 3, 1, 4]",70.2,2715.019914150238
case39,18,1.280369661101574,0.8066829168143942,5.966542252473823,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 3, 3, 2, 4, 4, 0, 0, 1]",46.800000000000004,1958.9060957431793
case40,1,1.7073679072348356,5.9699460259177375,3.5152666534963495,2.6,[-1],2.6,2958.2177443504333
case41,26,2.1533313760620554,1.5021882021990978,1.5783711969537983,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 2, 0, 3]",67.60000000000001,181.91986894607544
case42,1,1.2024742614466915,5.165469272242485,5.675013166857028,2.6,[-1],2.6,2928.6468455791473
case43,26,2.062879643165399,5.719161782905742,1.1203415083118469,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 1, 1]",67.60000000000001,964.6356706619263
case44,26,2.0864006027593636,1.9242610833240699,5.969766932741629,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 2]",67.60000000000001,442.64746046066284
case45,27,2.453656931459502,4.089371396534814,2.7426952013443966,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4]",70.2,38.36313462257385
case46,18,1.469990904925255,0.9640821429199878,3.901641592949823,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 4, 2, 1]",46.800000000000004,69.84956097602844
case47,1,1.1782199392785089,5.678197981553411,2.7332859758543564,2.6,[-1],2.6,2710.0174016952515
case48,34,2.706808219096591,5.2757118929041,3.2738762946297277,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 1, 3, 3, 2]",88.4,1609.5315854549408
case49,18,1.2798141396934766,5.660565288692397,0.6386680200583688,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 4, 4, 0, 0]",46.800000000000004,1386.096512556076
case50,18,1.663722688572282,2.524731407047445,5.448953855463847,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",46.800000000000004,12.315340518951416
case51,1,1.1447809173986951,5.553787975972813,1.5551417595281294,2.6,[-1],2.6,2752.995475292206
case52,26,2.4872603737186414,6.2010176292335135,3.813320563226401,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",67.60000000000001,14.820464849472046
case53,18,1.3345728751071013,4.08872591537841,5.631995335207276,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 0, 0, 4, 3]",46.800000000000004,358.9422879219055
case54,1,1.808413058990634,0.30775188290429806,5.127964363162665,2.6,[-1],2.6,2726.7029025554657
case55,19,1.7070506894558202,1.426421174476139,2.076887576800065,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4]",49.4,19.354276418685913
