gate length,Theta,Phi,dt,combination,total time,computing time
12,1.456132101,4.230919865,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2]",36,16.87260556
0,0.097445307,5.358646932,3,[],0,0.001997709
0,0.065279246,2.503435111,3,[],0,0.002000809
17,1.877037123,2.307067173,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3]",51,30.87091827
23,2.515065229,4.490889912,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4]",69,79.09444928
16,1.541488258,0.107840452,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 1, 4]",48,140.8682687
13,1.238955952,5.062867815,3,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 0]",39,71.94760728
9,0.92513662,4.585368887,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4]",27,16.43271947
17,1.727646467,5.812120005,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 2, 4]",51,51.86396766
26,2.510435877,4.270413327,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 2, 0, 4]",78,624.281687
5,0.707600949,0.869320336,3,"[2, 4, 4, 1, 1]",15,1.851991892
11,1.136937206,1.689384925,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3]",33,22.34169865
14,1.141909055,0.59816079,3,"[1, 3, 3, 2, 4, 1, 1, 3, 3, 2, 4, 1, 1, 1]",42,383.4147682
28,3.088431676,3.285668442,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2]",84,154.463439
19,2.151113371,4.417765009,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2]",57,69.00421405
9,0.966787024,2.977492122,3,"[3, 2, 2, 4, 4, 1, 3, 3, 2]",27,22.73762345
19,2.099846837,1.021323136,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1]",57,56.78461766
17,1.572946482,2.609713292,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 1, 1]",51,351.5677264
12,1.005119962,2.849573665,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 3, 2, 0]",36,72.02480888
19,1.772898353,1.309261433,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 1, 1, 4]",57,354.5305359
28,3.043399931,0.722573417,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1]",84,128.7476139
19,2.180054934,4.279394531,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2]",57,64.42595768
15,1.596464323,3.927307998,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2]",45,34.27147913
26,2.538288149,4.089997654,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 4, 4]",78,579.5705633
8,0.913860573,5.273474656,3,"[4, 1, 1, 3, 3, 2, 4, 4]",24,9.141485929
6,0.651897319,3.213771455,3,"[4, 1, 1, 3, 3, 2]",18,6.040097475
28,3.121857311,5.088202844,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4]",84,132.5240779
0,0.029559311,1.490500914,3,[],0,0.003000259
22,2.178714342,5.663288436,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0]",66,278.61499
6,0.640208749,5.188061597,3,"[1, 3, 3, 2, 2, 4]",18,3.759004116
21,2.010803684,3.192064357,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 1]",63,385.6084383
28,3.015448309,2.985040831,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2]",84,140.4223902
24,2.477305604,5.836225728,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 2, 4]",72,169.6698833
0,0.020791817,4.714876613,3,[],0,0.002999544
27,2.793988006,5.958781462,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4]",81,226.588249
27,2.84422236,3.354255362,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2]",81,147.6239028
24,2.403356353,3.13739114,3,"[1, 3, 3, 2, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 2]",72,304.068625
2,0.308117782,0.979695846,3,"[1, 1]",6,0.631955385
3,0.332613118,5.805190704,3,"[2, 4, 4]",9,0.458623171
7,0.813260201,4.208548343,3,"[4, 1, 1, 3, 3, 2, 2]",21,7.812455416
17,1.416988017,2.528077571,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 0, 2, 0]",51,957.8765266
9,0.749821604,3.184755262,3,"[3, 2, 2, 4, 4, 1, 0, 0, 2]",27,31.97515368
25,2.650339979,3.820723731,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 3]",75,278.7640855
11,1.009655841,4.174419469,3,"[1, 3, 3, 2, 4, 1, 1, 3, 3, 2, 4]",33,50.42643619
9,1.018071777,3.206564741,3,"[3, 2, 2, 4, 4, 1, 3, 3, 2]",27,12.3604579
20,2.197708308,5.245342841,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4]",60,65.14118266
6,0.614701757,5.158001057,3,"[1, 3, 3, 2, 2, 4]",18,8.002013206
