4,0.504818689,1.611432459,2.6,"[4, 1, 1, 3]",10.4,0.508113384,,
4,0.503545833,3.253277919,2.6,"[1, 3, 3, 2]",10.4,0.694154024,,
4,0.519808372,5.808608921,2.6,"[2, 2, 4, 4]",10.4,0.88419795,,
5,0.510422712,2.216896782,2.6,"[4, 1, 1, 3, 3]",13,1.336298704,,
5,0.619238959,2.317590618,2.6,"[4, 1, 1, 3, 3]",13,1.745388031,,
5,0.609056371,0.90606535,2.6,"[2, 4, 4, 1, 1]",13,1.770395279,,
5,0.622260013,3.991683274,2.6,"[1, 3, 3, 2, 2]",13,1.781398535,,
5,0.621697117,1.878995448,2.6,"[4, 4, 1, 1, 3]",13,1.983443975,,
6,0.626979966,1.48009002,2.6,"[2, 4, 4, 1, 1, 3]",15.6,2.609582901,,
6,0.744397193,1.581460159,2.6,"[2, 4, 4, 1, 1, 3]",15.6,3.289730787,,
6,0.62069308,1.10384398,2.6,"[2, 2, 4, 4, 1, 1]",15.6,3.565792561,,
6,0.713076201,3.872896922,2.6,"[1, 1, 3, 3, 2, 2]",15.6,3.633811951,,
6,0.741510087,2.457557839,2.6,"[4, 4, 1, 1, 3, 3]",15.6,3.664819717,,
7,0.72054988,5.012217228,2.6,"[1, 1, 3, 3, 2, 2, 4]",18.2,6.070349932,,
4,0.527243156,3.678539014,2.6,"[3, 3, 2, 2]",10.4,10.69238901,,
4,0.540788064,1.180075864,2.6,"[4, 1, 1, 1]",10.4,12.73284554,,
5,0.589603753,5.17632848,2.6,"[3, 2, 2, 4, 4]",13,15.78852868,,
6,0.638954846,4.518525592,2.6,"[1, 3, 3, 2, 2, 4]",15.6,17.81698275,,
6,0.688258125,3.714357716,2.6,"[1, 1, 3, 3, 2, 2]",15.6,22.41100931,,
7,0.702246841,5.177156204,2.6,"[1, 3, 3, 2, 2, 4, 4]",18.2,24.22041845,,
6,0.704027442,2.841576967,2.6,"[4, 1, 1, 3, 3, 3]",15.6,30.66785431,,
8,0.730054846,4.411859848,2.6,"[4, 1, 1, 3, 3, 2, 2, 2]",20.8,49.75612116,,
4,0.532610796,1.472570667,2.6,"[4, 1, 1, 3]",10.4,0.5081141,,
4,0.537133167,3.255271024,2.6,"[1, 3, 3, 2]",10.4,0.694154024,,
4,0.529174631,2.44387224,2.6,"[1, 1, 3, 3]",10.4,0.88419795,,
5,0.523268519,2.192755709,2.6,"[4, 1, 1, 3, 3]",13,1.336298704,,
5,0.629516656,2.319307011,2.6,"[4, 1, 1, 3, 3]",13,1.745388031,,
5,0.610029902,0.929192699,2.6,"[2, 4, 4, 1, 1]",13,1.770395279,,
5,0.630425896,0.250646018,2.6,"[2, 2, 4, 4, 1]",13,1.781398535,,
5,0.503684745,1.930143101,2.6,"[4, 4, 1, 1, 3]",13,1.984440565,,
6,0.643849724,1.523081395,2.6,"[2, 4, 4, 1, 1, 3]",15.6,2.609582901,,
6,0.726286589,3.796191921,2.6,"[1, 1, 3, 3, 2, 2]",15.6,3.289734125,,
6,0.559094002,4.26960874,2.6,"[1, 1, 3, 3, 2, 2]",15.6,3.565793276,,
6,0.725224801,3.920601713,2.6,"[1, 1, 3, 3, 2, 2]",15.6,3.633811951,,
6,0.655313801,4.172641036,2.6,"[1, 1, 3, 3, 2, 2]",15.6,3.6658144,,
7,0.664980728,3.459267027,2.6,"[4, 4, 1, 1, 3, 3, 2]",18.2,6.070356131,,
5,0.527427343,1.430855361,2.6,"[4, 4, 1, 1, 3]",13,10.69238901,,
4,0.525708305,4.302313278,2.6,"[3, 2, 2, 2]",10.4,12.73284602,,
5,0.593832735,0.510957225,2.6,"[2, 4, 4, 1, 1]",13,15.78951073,,
6,0.619287215,6.040329426,2.6,"[3, 2, 2, 4, 4, 1]",15.6,17.81798244,,
7,0.666028566,2.961313273,2.6,"[4, 4, 1, 1, 3, 3, 2]",18.2,22.41200924,,
7,0.701796418,5.2169706,2.6,"[1, 3, 3, 2, 2, 4, 4]",18.2,24.22241426,,
6,0.699833447,5.925783338,2.6,"[3, 2, 2, 4, 4, 4]",15.6,30.67182136,,
8,0.729963196,1.2876279,2.6,"[3, 2, 2, 4, 4, 1, 1, 1]",20.8,49.8321383,,
4,0.508381349,1.493987207,2.6,"[4, 1, 1, 3]",10.4,0.509113073,,
4,0.552318677,0.684540992,2.6,"[4, 4, 1, 1]",10.4,0.694154024,,
4,0.543890652,3.954773023,2.6,"[3, 3, 2, 2]",10.4,0.88419795,,
5,0.543715969,0.612121172,2.6,"[2, 4, 4, 1, 1]",13,1.336298704,,
5,0.640460844,2.316246366,2.6,"[4, 1, 1, 3, 3]",13,1.745388031,,
5,0.644032809,3.258491537,2.6,"[1, 1, 3, 3, 2]",13,1.770395279,,
5,0.634959098,0.114867425,2.6,"[2, 2, 4, 4, 1]",13,1.781398535,,
5,0.531615856,2.003276131,2.6,"[4, 4, 1, 1, 3]",13,1.984441042,,
6,0.692673276,1.500935747,2.6,"[2, 4, 4, 1, 1, 3]",15.6,2.609582901,,
6,0.728042513,1.679785451,2.6,"[2, 4, 4, 1, 1, 3]",15.6,3.289734364,,
6,0.602251018,5.826404296,2.6,"[3, 3, 2, 2, 4, 4]",15.6,3.565793276,,
6,0.743950463,5.441350736,2.6,"[3, 3, 2, 2, 4, 4]",15.6,3.633811951,,
6,0.625501524,4.120621127,2.6,"[1, 1, 3, 3, 2, 2]",15.6,3.665814638,,
7,0.747327863,4.982058417,2.6,"[1, 1, 3, 3, 2, 2, 4]",18.2,6.070356607,,
5,0.540879531,4.584516703,2.6,"[3, 3, 2, 2, 4]",13,10.69238925,,
4,0.538188942,4.344587959,2.6,"[3, 2, 2, 2]",10.4,12.73284602,,
5,0.586811452,0.405999002,2.6,"[2, 4, 4, 1, 1]",13,15.78952861,,
6,0.624842496,2.934948515,2.6,"[4, 1, 1, 3, 3, 2]",15.6,17.81798267,,
7,0.659209862,4.485571654,2.6,"[1, 1, 3, 3, 2, 2, 4]",18.2,22.41200948,,
7,0.701264318,1.99735412,2.6,"[2, 4, 4, 1, 1, 3, 3]",18.2,24.22341418,,
6,0.707781354,6.013728859,2.6,"[3, 2, 2, 4, 4, 4]",15.6,30.67485571,,
8,0.725182228,2.622233125,2.6,"[2, 4, 4, 4, 1, 1, 3, 3]",20.8,50.15520954,,
4,0.509146791,1.601647192,2.6,"[4, 1, 1, 3]",10.4,0.509113073,,
4,0.522114794,3.19674203,2.6,"[1, 3, 3, 2]",10.4,0.694154263,,
4,0.548934131,2.338959268,2.6,"[1, 1, 3, 3]",10.4,0.88419795,,
5,0.550924632,0.624555201,2.6,"[2, 4, 4, 1, 1]",13,1.336298704,,
5,0.646328513,2.300001119,2.6,"[4, 1, 1, 3, 3]",13,1.745388031,,
5,0.654118615,5.477071308,2.6,"[3, 2, 2, 4, 4]",13,1.770395279,,
5,0.638532257,4.021589613,2.6,"[1, 3, 3, 2, 2]",13,1.781398535,,
5,0.546624608,2.003166148,2.6,"[4, 4, 1, 1, 3]",13,1.984441519,,
6,0.647068052,1.512145996,2.6,"[2, 4, 4, 1, 1, 3]",15.6,2.609583139,,
6,0.664692632,1.745034658,2.6,"[2, 4, 4, 1, 1, 3]",15.6,3.289734602,,
6,0.59714558,2.697516955,2.6,"[4, 4, 1, 1, 3, 3]",15.6,3.565796375,,
6,0.683811296,3.924218699,2.6,"[1, 1, 3, 3, 2, 2]",15.6,3.633812189,,
6,0.654384036,4.178504601,2.6,"[1, 1, 3, 3, 2, 2]",15.6,3.665815115,,
7,0.689501144,0.312123865,2.6,"[3, 3, 2, 2, 4, 4, 1]",18.2,6.070356846,,
5,0.510068778,4.401850442,2.6,"[3, 3, 2, 2, 4]",13,10.69238949,,
4,0.541269466,4.278281939,2.6,"[3, 2, 2, 2]",10.4,12.7328465,,
5,0.585775309,5.167541368,2.6,"[3, 2, 2, 4, 4]",13,15.78952909,,
6,0.63462844,2.917665224,2.6,"[4, 1, 1, 3, 3, 2]",15.6,17.81798267,,
7,0.664330282,6.0205598,2.6,"[3, 3, 2, 2, 4, 4, 1]",18.2,22.41200948,,
7,0.696641,5.146720538,2.6,"[1, 3, 3, 2, 2, 4, 4]",18.2,24.22541428,,
6,0.700371385,2.769383514,2.6,"[4, 1, 1, 3, 3, 3]",15.6,30.67587185,,
8,0.727041734,5.763875191,2.6,"[1, 3, 3, 3, 2, 2, 4, 4]",20.8,50.16421223,,
4,0.516044536,1.564028982,2.6,"[4, 1, 1, 3]",10.4,0.509113073,,
4,0.537256201,1.676889347,2.6,"[4, 1, 1, 3]",10.4,0.694154263,,
