Case,gate length,Theta,Phi,dt,combination,total time,computing time
case2,11,0.8771744190421681,1.3032855164380857,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 0]",28.6,26.892418146133423
case3,27,2.4130879423854377,3.4951197747648712,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 4]",70.2,70.66993188858032
case4,11,0.6911841182825755,5.153273290940961,2.6,"[2, 2, 4, 4, 1, 1, 3, 2, 4, 0, 0]",28.6,224.0506465435028
case5,33,2.7800666128458293,4.3882544618430455,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 0, 3, 0, 3]",85.8,848.428254365921
case6,17,1.1454459012172455,3.76121893340916,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 3, 3, 2, 2, 2]",44.2,5580.680149316788
case7,27,2.1011746013869343,3.218065393445368,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 3, 4, 3]",70.2,3274.9022583961487
case8,18,1.7058412924016237,0.012361504562601306,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",46.800000000000004,15.885840892791748
case9,33,2.942501869192396,2.561086318339819,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 1]",85.8,168.24441933631897
case10,18,1.7010219962861393,5.560437787799654,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",46.800000000000004,16.34404945373535
case11,18,1.5205469624984824,3.6870883962380647,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3]",46.800000000000004,67.99619770050049
case12,10,0.6935332010800952,2.2126710659149644,2.6,"[1, 3, 3, 2, 2, 4, 1, 0, 3, 2]",26.0,214.46440076828003
case13,1,1.0510345847806595,1.1699109377925505,2.6,[-1],2.6,5556.119544267654
case14,0,0.040389693812032036,4.547861212862218,2.6,[],0.0,0.0
case15,32,2.9197554498602325,0.3948278038984946,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4]",83.2,78.96870112419128
case16,33,2.885928403524418,0.4274538721422421,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 0, 4]",85.8,250.4798195362091
case17,1,1.8230522975816843,2.590672223894583,2.6,[-1],2.6,6243.513452768326
case18,26,2.22119386324575,4.410087651853282,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 1, 4]",67.60000000000001,214.12998461723328
case19,18,1.5167783043431227,4.06552386273188,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 3, 4]",46.800000000000004,63.772783279418945
case20,5,0.6007611764884557,5.991561420374569,2.6,"[2, 2, 4, 4, 4]",13.0,5.925573110580444
case21,19,1.4372370257192224,0.2648644014819308,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 2, 3, 2, 2, 4, 4, 1]",49.4,1322.4653255939484
case22,33,3.023155645753679,2.359930777625022,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 1]",85.8,168.49565982818604
case23,4,0.5346220983572987,3.213788306236335,2.6,"[1, 3, 3, 2]",10.4,1.4954521656036377
case24,3,0.3723760851095987,4.602025219900584,2.6,"[2, 2, 4]",7.800000000000001,2.2344377040863037
case25,19,1.3592502780137514,1.2979158665461694,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 2, 0, 0]",49.4,3227.324599504471
