Case,gate length,Theta,Phi,dt,combination,total time,computing time
case2,1,2.049470636226175,0.15669206556628842,2.6,[-1],2.6,6492.787518024445
case3,18,1.4396332564981678,1.6664536052027843,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 1, 4]",46.800000000000004,160.62162947654724
case4,3,0.35900421771789953,5.1492746381141385,2.6,"[2, 2, 4]",7.800000000000001,0.8315401077270508
case5,18,1.3366597050857396,0.5654954893276939,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 2, 2, 4, 3]",46.800000000000004,795.2842962741852
case6,26,2.553803075877465,4.398414744862611,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",67.60000000000001,27.247437953948975
case7,32,3.0251239571672355,2.0333291597313177,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1]",83.2,57.56787467002869
case8,18,1.3317191743715586,2.9764187045037462,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 4, 2, 3]",46.800000000000004,1098.249264240265
case9,9,0.5919223764703061,0.743623848886205,2.6,"[1, 1, 3, 3, 2, 4, 1, 1, 0]",23.400000000000002,53.553313970565796
case10,33,2.9443728679802623,5.485525040903253,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 2]",85.8,169.60608530044556
case11,33,3.057643530449082,4.639745931990701,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3]",85.8,165.9085066318512
case12,32,3.121918368154425,0.5426973343796699,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4]",83.2,57.84838104248047
case13,10,0.9091100869668555,4.082961507297347,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 4]",26.0,9.353883981704712
case14,32,3.0767014715929015,1.360943400208831,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4]",83.2,50.22822594642639
case15,32,2.9732674941344324,5.356327166355925,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",83.2,57.72980618476868
case16,33,2.7786950034700366,0.6183638231576247,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 2, 4]",85.8,555.214656829834
case17,26,2.423207526062375,5.579310104217452,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",67.60000000000001,29.588926553726196
case18,10,0.8513610949291907,0.22638651088416736,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 1, 4]",26.0,14.384459257125854
case19,26,2.402052023382017,4.504882440539426,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2]",67.60000000000001,34.110605239868164
case20,10,0.6933721166892434,2.61534963473116,2.6,"[3, 3, 2, 2, 4, 4, 4, 1, 2, 2]",26.0,67.48898720741272
case21,1,1.0959255458471344,2.8182504983748284,2.6,[-1],2.6,6238.19309258461
case22,1,2.561780883391052,5.704475250445242,2.6,[-1],2.6,4741.003563404083
case23,10,0.6789760628441073,2.6538143288323957,2.6,"[3, 3, 2, 2, 4, 4, 4, 3, 0, 2]",26.0,66.71178030967712
case24,1,1.9718428024936485,4.597456878447677,2.6,[-1],2.6,6883.655720472336
case25,1,1.1849255917657768,2.914271540162225,2.6,[-1],2.6,6899.124704122543
case26,1,1.0201674130413851,1.0714363539186713,2.6,[-1],2.6,5002.728806734085
case27,10,0.8759157008352112,2.3744700190821644,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 2]",26.0,11.369069337844849
case28,18,1.3665694155432466,1.6583422725637658,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 2, 0, 0, 3]",46.800000000000004,623.8722159862518
case29,10,0.7985394524136445,1.0342309699811671,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 1, 0]",26.0,22.457257986068726
