Case,gate lenght,Theta,Phi,dt,combination,total time,computing time
case44,0,0.119671449,2.371617357,3,[],0,0.003000259
case45,22,2.302285727,3.883293009,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2]",66,65.92257667
case46,12,1.456132101,4.230919865,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2]",36,16.87260556
case47,0,0.097445307,5.358646932,3,[],0,0.001997709
case48,0,0.065279246,2.503435111,3,[],0,0.002000809
case49,17,1.877037123,2.307067173,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3]",51,30.87091827
case50,23,2.515065229,4.490889912,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4]",69,79.09444928
case51,16,1.541488258,0.107840452,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 1, 4]",48,140.8682687
case52,13,1.238955952,5.062867815,3,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 0]",39,71.94760728
case53,9,0.92513662,4.585368887,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4]",27,16.43271947
case54,17,1.727646467,5.812120005,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 2, 4]",51,51.86396766
case55,26,2.510435877,4.270413327,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 2, 0, 4]",78,624.281687
case56,5,0.707600949,0.869320336,3,"[2, 4, 4, 1, 1]",15,1.851991892
case57,11,1.136937206,1.689384925,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3]",33,22.34169865
case58,14,1.141909055,0.59816079,3,"[1, 3, 3, 2, 4, 1, 1, 3, 3, 2, 4, 1, 1, 1]",42,383.4147682
case59,28,3.088431676,3.285668442,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2]",84,154.463439
case60,19,2.151113371,4.417765009,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2]",57,69.00421405
case61,9,0.966787024,2.977492122,3,"[3, 2, 2, 4, 4, 1, 3, 3, 2]",27,22.73762345
case62,19,2.099846837,1.021323136,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1]",57,56.78461766
case63,17,1.572946482,2.609713292,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 1, 1]",51,351.5677264
case64,12,1.005119962,2.849573665,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 3, 2, 0]",36,72.02480888
case65,19,1.772898353,1.309261433,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 1, 1, 4]",57,354.5305359
case66,28,3.043399931,0.722573417,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1]",84,128.7476139
case67,19,2.180054934,4.279394531,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2]",57,64.42595768
case68,15,1.596464323,3.927307998,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2]",45,34.27147913
case69,26,2.538288149,4.089997654,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 4, 4]",78,579.5705633
case70,8,0.913860573,5.273474656,3,"[4, 1, 1, 3, 3, 2, 4, 4]",24,9.141485929
case71,6,0.651897319,3.213771455,3,"[4, 1, 1, 3, 3, 2]",18,6.040097475
case72,28,3.121857311,5.088202844,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4]",84,132.5240779
case73,0,0.029559311,1.490500914,3,[],0,0.003000259
case74,22,2.178714342,5.663288436,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0]",66,278.61499
case75,6,0.640208749,5.188061597,3,"[1, 3, 3, 2, 2, 4]",18,3.759004116
case76,21,2.010803684,3.192064357,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 1]",63,385.6084383
case77,28,3.015448309,2.985040831,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2]",84,140.4223902
case78,24,2.477305604,5.836225728,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 2, 4]",72,169.6698833
case79,0,0.020791817,4.714876613,3,[],0,0.002999544
case80,27,2.793988006,5.958781462,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4]",81,226.588249
case81,27,2.84422236,3.354255362,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2]",81,147.6239028
case82,24,2.403356353,3.13739114,3,"[1, 3, 3, 2, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 2]",72,304.068625
case83,2,0.308117782,0.979695846,3,"[1, 1]",6,0.631955385
case84,3,0.332613118,5.805190704,3,"[2, 4, 4]",9,0.458623171
case85,7,0.813260201,4.208548343,3,"[4, 1, 1, 3, 3, 2, 2]",21,7.812455416
case86,17,1.416988017,2.528077571,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 0, 2, 0]",51,957.8765266
case87,9,0.749821604,3.184755262,3,"[3, 2, 2, 4, 4, 1, 0, 0, 2]",27,31.97515368
case88,25,2.650339979,3.820723731,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 3]",75,278.7640855
case89,11,1.009655841,4.174419469,3,"[1, 3, 3, 2, 4, 1, 1, 3, 3, 2, 4]",33,50.42643619
case90,9,1.018071777,3.206564741,3,"[3, 2, 2, 4, 4, 1, 3, 3, 2]",27,12.3604579
case91,20,2.197708308,5.245342841,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4]",60,65.14118266
case92,6,0.614701757,5.158001057,3,"[1, 3, 3, 2, 2, 4]",18,8.002013206
case93,24,2.505922827,2.359296062,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3]",72,137.6448696
case94,23,2.110781717,1.721521409,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 0, 1, 4]",69,829.6703901
case95,24,2.292207278,5.814259883,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 3, 2, 4]",72,649.7359622
case96,6,0.650535192,4.083856699,3,"[4, 1, 1, 3, 2, 4]",18,8.316354513
case97,22,2.267929981,0.50585319,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 3]",66,170.8812308
case98,18,1.794199788,1.968577454,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 0, 3]",54,142.8943005
case99,28,3.062348161,5.391187146,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4]",84,130.9351811
case100,7,0.573678078,4.464866688,3,"[4, 1, 1, 3, 2, 3, 2]",21,14.29443216
case101,10,0.983597186,0.903651397,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 3]",30,22.01183939
case102,26,2.894142741,1.12845406,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1]",78,116.3596935
case103,20,2.125142817,3.535597756,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2]",60,73.95991254
case104,17,1.657735232,2.254890275,3,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 2]",51,153.3100872
case105,28,3.028280253,0.614574064,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1]",84,131.2422588
case106,13,1.268672511,2.464239978,3,"[2, 4, 4, 1, 3, 2, 2, 4, 4, 1, 1, 3, 3]",39,78.55397725
case107,14,1.336557706,4.729166532,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 2, 0, 4]",42,101.5002291
case108,24,2.557635397,1.156868979,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1]",72,103.6621797
case109,26,2.793462101,4.139986403,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2]",78,122.9974844
case110,0,0.113929318,2.085151222,3,[],0,0.003031015
case111,0,0.195288882,2.539822432,3,[],0,0.003004074
case112,25,2.683930035,0.194812928,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1]",75,111.2579322
case113,25,2.659119934,3.876042732,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 3]",75,268.4160659
case114,22,2.309881758,3.738554606,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2]",66,89.20251131
case115,21,2.013486567,6.033970884,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 4, 4, 3]",63,376.4127707
case116,8,1.010906093,3.871545907,3,"[2, 4, 4, 1, 1, 3, 2, 2]",24,9.227923155
case117,8,0.845441326,1.902601862,3,"[3, 2, 2, 4, 4, 1, 1, 3]",24,14.45375371
case118,4,0.6075243,3.380739152,3,"[1, 3, 3, 2]",12,1.940037727
case119,19,2.028713841,2.743168598,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3]",57,60.92767549
case120,22,2.229041783,5.760692308,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",66,289.4427714
case121,25,2.723349714,3.234391848,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2]",75,115.7668431
case122,17,1.536593672,5.711086304,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 3, 2, 1]",51,533.681829
case123,22,2.242552908,0.666633024,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 3]",66,135.2743757
case124,7,0.725558162,0.326719154,3,"[1, 3, 3, 2, 4, 1, 1]",21,13.85332227
case125,1,0.311006198,0.541299595,3,[1],3,0.022029877
case126,8,0.888639155,0.980454971,3,"[1, 3, 3, 2, 2, 4, 1, 3]",24,15.64118075
case127,21,2.203380888,4.356986341,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4]",63,96.95904756
case128,2,0.343943406,6.141633084,3,"[4, 1]",6,0.17410183
case129,21,2.329144371,0.029248645,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 4]",63,115.4252231
case130,4,0.485652435,4.842811303,3,"[3, 2, 2, 4]",12,1.363829613
case131,3,0.42573284,5.392560385,3,"[2, 4, 4]",9,0.441286087
case132,1,0.224468566,5.100523357,3,[4],3,0.017625093
case133,24,2.542710498,5.504739549,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4]",72,86.35884023
case134,0,0.192033676,2.377059263,3,[],0,0.00200367
case135,21,1.835949239,0.655125051,3,"[1, 3, 3, 2, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 2, 2, 2, 4, 4]",63,4145.317979
case136,5,0.522411587,4.331578051,3,"[1, 3, 3, 2, 2]",15,3.164491177
case137,14,1.475173413,4.523433315,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4]",42,21.79137063
case138,6,0.793705978,3.297362468,3,"[4, 1, 1, 3, 3, 2]",18,3.21880579
case139,12,1.257024617,4.326538916,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2]",36,17.80783677
case140,18,1.987610144,0.262355611,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1]",54,41.30161095
case141,24,2.208459519,2.567829383,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 0, 0, 3, 0]",72,847.8571222
case142,7,0.850957698,2.541626696,3,"[2, 4, 4, 1, 1, 3, 3]",21,8.508569479
case143,25,2.736919068,0.445893787,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1]",75,117.411171
case144,26,2.574691748,4.133935016,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 2, 2, 0]",78,459.5820985
case145,7,0.778065527,4.302151887,3,"[4, 1, 1, 3, 3, 2, 4]",21,6.301812172
case146,28,2.819769741,0.584228837,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 0]",84,371.9218247
case147,6,0.792272888,5.087711271,3,"[1, 3, 3, 2, 2, 4]",18,4.348726749
case148,18,1.916357338,1.863657727,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3]",54,68.39319372
case149,19,2.035168979,4.086004726,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 4]",57,77.40020204
case150,12,1.14088365,1.197054906,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 0]",36,66.09390736
case151,17,1.777987831,3.077616063,3,"[1, 3, 3, 2, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 2]",51,162.2579317
case152,8,0.99491765,2.309243064,3,"[3, 2, 2, 4, 4, 1, 3, 3]",24,6.053465605
case153,12,1.416394152,4.331098667,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2]",36,16.79222226
case154,19,1.881066883,4.165127259,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 3, 4]",57,179.5528958
case155,19,2.132754993,4.202842105,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2]",57,66.37152863
case156,8,0.903737681,3.568247051,3,"[2, 4, 4, 1, 1, 3, 2, 2]",24,10.33117676
case157,6,0.691207811,3.535604242,3,"[4, 1, 1, 3, 3, 2]",18,4.546419144
case158,24,2.605363294,1.135335785,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1]",72,104.8299389
case159,26,2.755169354,4.635378619,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2]",78,154.16924
case160,9,0.920383245,1.294508167,3,"[1, 3, 3, 2, 2, 4, 1, 1, 1]",27,15.34727168
case161,4,0.535806567,0.072952923,3,"[2, 4, 4, 1]",12,0.97813201
case162,4,0.569145193,4.858121988,3,"[3, 2, 2, 4]",12,1.547035694
case163,18,1.601015639,3.433947394,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 0, 0, 3]",54,621.1180644
case164,17,1.741934755,3.163500241,3,"[1, 3, 3, 2, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 2]",51,153.731457
case165,23,2.362313527,2.258581635,3,"[1, 3, 3, 2, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3]",69,316.9987772
case166,10,0.941130549,1.003701573,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 0]",30,31.32201791
case167,8,0.828345918,3.358887773,3,"[2, 4, 4, 1, 1, 3, 3, 2]",24,15.57926488
case168,18,1.717137978,0.355863039,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 2, 4, 3]",54,273.0313909
case169,15,1.402620659,0.874161911,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 0, 3]",45,125.4346354
case170,21,2.237734534,0.316606008,3,"[1, 3, 3, 2, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 2, 2, 4, 4, 1]",63,234.3404834
case171,27,2.777999623,5.006323562,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 4, 4]",81,310.0099971
case172,20,2.17011639,5.271456071,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4]",60,70.77213073
case173,11,1.199363157,2.080362362,3,"[4, 1, 1, 3, 3, 2, 4, 1, 1, 3, 3]",33,56.53534293
case174,0,0.045989485,5.232518246,3,[],0,0.002999544
case175,17,1.895167754,2.452251082,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3]",51,45.31562185
case176,0,0.008298696,0.16790437,3,[],0,0.003000975
case177,0,0.16630708,3.037864222,3,[],0,0.002999783
case178,17,1.822869622,5.558596458,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4]",51,45.53395081
case179,10,1.214737643,2.479887183,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3]",30,16.59207749
case180,12,0.996328552,1.237836348,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 1, 1, 2]",36,150.6316164
case181,19,1.808904093,4.436619169,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 3, 0]",57,318.0650804
case182,4,0.55801374,0.286433467,3,"[2, 4, 4, 1]",12,1.377679825
case183,17,1.834231691,0.760419913,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1]",51,43.93294358
case184,8,0.782386181,4.582353742,3,"[2, 4, 4, 1, 3, 2, 2, 4]",24,19.8607533
case185,27,2.997893796,5.459616445,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4]",81,125.8930638
case186,27,2.978817645,5.282931257,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4]",81,121.8438869
case187,10,1.178900553,0.844220552,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1]",30,11.62591743
case188,8,0.943674248,5.173871713,3,"[4, 1, 1, 3, 3, 2, 4, 4]",24,8.817592382
case189,16,1.578208957,1.957390572,3,"[1, 3, 3, 2, 2, 4, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",48,102.3376901
case190,19,1.931122151,4.805410759,3,"[1, 3, 3, 2, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 2, 2, 4]",57,185.3520834
