Case,gate length,Theta,Phi,dt,combination,total time,computing time
case1,26,2.0159006907308106,2.04750674366904,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0, 3, 2, 1]",67.60000000000001,3351.6199946403503
case2,1,1.7473622481799396,2.709629771089769,2.6,[-1],2.6,28851.375121831894
case3,27,2.0751571515947123,1.9348470677372553,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 2, 4, 3, 2, 2]",70.2,4625.040539264679
case4,26,1.8506803207117715,5.617090417482759,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1, 3, 3, 2, 2]",67.60000000000001,28634.210785150528
case5,1,1.6884521942567037,5.74335007695722,2.6,[-1],2.6,34008.534819602966
case6,20,1.612736372455355,1.932867397197195,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1, 3, 0, 2, 4, 1, 1, 3, 3]",52.0,714.2044723033905
case7,26,1.8648270783119048,5.726289324030908,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1, 3, 3, 3, 4]",67.60000000000001,31556.927350521088
case8,18,1.7605536843527019,0.5958346633479492,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",46.800000000000004,12.084911823272705
case9,18,1.573938256237084,5.734028341556763,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 1, 1, 3, 3, 2, 2, 4, 4]",46.800000000000004,90.50591373443604
case10,18,1.594869544408884,4.808974901852656,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0]",46.800000000000004,20.60160255432129
case11,1,1.632835548915262,1.1352591426898229,2.6,[-1],2.6,27998.41947054863
case12,18,1.6052232671418123,0.7706195823444231,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 0]",46.800000000000004,21.318387985229492
case13,27,1.9492994665082455,2.0291962330352553,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 3, 3, 3, 4]",70.2,31421.598630189896
case14,26,2.0058180208465224,5.765411728829358,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 0, 3, 3, 0, 4]",67.60000000000001,3632.8019759655
case15,1,1.693025747036148,2.8034295791483292,2.6,[-1],2.6,34003.1424601078
case16,1,1.7311738382427349,4.984653727805171,2.6,[-1],2.6,24617.441574573517
case17,19,1.5714556313818018,0.24235311694639913,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 2, 3, 2, 2, 4, 4, 1]",49.4,380.3199963569641
case18,19,1.5806653636622683,0.2032962867886101,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 2, 3, 2, 2, 4, 4, 1]",49.4,472.82999324798584
case19,27,2.028887652015878,1.7512355446597243,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 0, 0, 4, 3, 4, 1]",70.2,16927.100931167603
case20,26,2.0649240094277364,5.762715446831381,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3, 2, 2]",67.60000000000001,1396.1240150928497
case21,26,1.889157879662797,4.182353147957616,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 3, 1, 0, 3]",67.60000000000001,19174.444828510284
case22,18,1.6226616332050832,4.792795125887567,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4]",46.800000000000004,17.553067445755005
case23,1,1.7970164442345251,4.976381731565315,2.6,[-1],2.6,31296.39741230011
case24,1,1.730678907212938,2.7941091905141047,2.6,[-1],2.6,28832.18936729431
case25,19,1.630525103952124,3.5553358498731957,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3, 2, 2, 1, 1, 1, 3, 2, 2]",49.4,334.78105330467224
case26,26,1.8662314228004317,5.7415111275631014,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1, 1, 2, 2, 2]",67.60000000000001,32028.39016699791
case27,1,1.9090119782529011,1.1526229273590687,2.6,[-1],2.6,26826.36643719673
case28,1,1.6789029425638538,4.139823547743257,2.6,[-1],2.6,32555.770963907242
case29,19,1.8328547494549978,0.10161120135359888,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",49.4,12.1631498336792
