Case,gate length,Theta,Phi,dt,combination,fidelity,total time,computing time
case28,26,2.145488649,4.095326926,2.63,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 1, 4]",0.99996963,68.38,13.411362886428833
case29,26,2.049327728965268,5.338139107695742,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 2, 3]",0.99992825,67.60000000000001,0.06545472145080566
case30,8,0.5458690942251191,1.923414463087368,4.69,"[4, 1, 1, 3, 3, 0, 3, 1]",0.99995745,37.52,43.19232749938965
case31,31,2.346983753,5.948369566,2.82,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 0, 3, 0, 2, 4]",0.99999228,87.42,62.76005244255066
case32,6,0.520588978,0.482847833,6.0,"[4, 4, 1, 3, 4, 2]",0.99999822,36.0,18.776881217956543
case33,32,2.577768591,4.361978688,2.7,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 0, 0, 1, 0, 3, 2]",0.99995405,86.4,65.91136980056763
case34,24,1.8488807007888035,2.4054215257456435,2.92,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 0, 2, 4, 1, 3, 2]",0.99991143,70.08,66.07222890853882
case35,18,1.27003558,4.60516555,2.59,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 0, 4, 2, 3]",0.99998788,46.62,1.5959486961364746
case36,10,0.5975208,5.32573643,2.65,"[2, 4, 4, 1, 3, 2, 2, 2, 0, 0]",0.9999195,26.5,1.3868341445922852
case37,39,1.7967252946555432,0.8393363923487784,2.86,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3]",0.9999833,111.53999999999999,223.81900930404663
