Case,gate length,Theta,Phi,dt,combination,fidelity,total time,computing time
case1,30,2.357367114,0.887019211,2.78,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 0, 2, 2, 4, 4, 4]",0.99991,83.39999999999999,69.90360903739929
case2,33,2.803948853,1.352880521,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 2, 4, 1]",0.99995,85.8,0.10528373718261719
case3,9,0.641848706,2.301647553,2.66,"[3, 3, 2, 2, 4, 1, 3, 3, 2]",1.0,23.94,1.6281886100769043
case4,23,1.7036354698596146,3.84526133899995,3.07,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0, 3, 3, 2, 2]",0.99996,70.61,57.860387325286865
case5,18,1.255980412,4.194022163,3.29,"[3, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0, 3, 3, 2, 4]",0.99996,59.22,71.81724047660828
case6,24,1.633924487,3.413146238,3.07,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 4, 4, 1, 4, 1, 1, 3, 3, 2, 0, 1, 1, 3, 2]",0.99996,73.67999999999999,62.60754203796387
case7,18,1.7030953189242457,4.052298372636818,2.64,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",0.99995,47.52,11.874479293823242
case8,7,0.342376923,6.0557761,4.3,"[4, 4, 0, 3, 3, 0, 3]",0.99999,30.099999999999998,37.4031937122345
case9,16,1.183367924,0.821824007,3.55,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 0, 0, 4, 1, 1]",1.0,56.8,62.99869632720947
case10,28,2.0564052459596014,3.2606306709565422,2.54,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 0, 1, 2, 2, 4]",0.99997,71.12,14.91110634803772
