gate length,Theta,Phi,dt,combination,total time,computing time
27,2.434607441,5.013430353,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1]",70.2,47.13798547
32,3.076985094,5.027113813,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",83.2,35.73406172
27,2.615876126,4.774751907,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",70.2,18.69621968
27,2.407199308,3.420537887,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4]",70.2,81.2000668
33,2.812109083,5.755275761,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3, 2]",85.8,418.7470071
26,2.179222914,0.940771417,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 0, 4, 3]",67.6,229.4383495
4,0.465062307,0.391302135,2.6,"[2, 4, 4, 1]",10.4,0.893243551
10,0.900799061,5.457552412,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 2, 4]",26,6.192675829
1,1.508293663,1.282285788,2.6,[-1],2.6,3343.041366
26,2.011042146,3.197030144,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 2, 2, 3]",67.6,1268.168761
1,1.125714331,3.293362722,2.6,[-1],2.6,3394.390901
0,0.075596877,2.563547666,2.6,[],0,0
1,1.951516848,0.893797958,2.6,[-1],2.6,3267.249656
27,2.386379045,3.425923994,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 0, 4]",70.2,91.11981487
0,0.088762116,4.575583858,2.6,[],0,0
18,1.490105766,5.40655282,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 1, 1]",46.8,64.85012317
18,1.6372705,2.68633444,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 2, 2, 4, 4, 1, 1, 3, 3]",46.8,102.3329175
27,2.117694378,4.77236638,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1, 0, 2, 1]",70.2,1328.909654
32,3.088256536,5.116571373,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",83.2,36.12993479
1,1.893570922,1.823941945,2.6,[-1],2.6,3277.206414
26,2.05086661,1.536125549,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 0, 4, 2, 3]",67.6,1253.772064
1,1.229670357,3.652333976,2.6,[-1],2.6,3018.09546
26,2.010183766,3.980837995,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 0, 1, 2, 0, 3]",67.6,2346.265646
33,2.955901464,0.038598194,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 2]",85.8,104.1352422
1,1.987933829,2.677026002,2.6,[-1],2.6,3244.161858
11,0.689153084,5.127737764,2.6,"[2, 2, 4, 4, 1, 1, 3, 2, 4, 0, 0]",28.6,144.0402062
2,0.336365289,0.817287957,2.6,"[1, 1]",5.2,0.094158649
27,2.097130838,3.354659901,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 0, 0, 1, 3]",70.2,1721.270125
1,1.226627823,5.081080855,2.6,[-1],2.6,3301.474975
2,0.311143598,1.243968802,2.6,"[1, 1]",5.2,0.094151735
11,0.97438035,0.240210665,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1]",28.6,7.712728977
26,2.554259379,0.510078288,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",67.6,17.85986066
1,1.673184394,1.25511992,2.6,[-1],2.6,3297.673715
27,2.365621989,4.821942768,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 4, 2]",70.2,75.06761265
18,1.443434049,5.76996269,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 1, 1, 3, 3, 2, 2, 4, 1]",46.8,153.6862631
5,0.543213807,5.072528133,2.6,"[3, 2, 2, 4, 4]",13,2.056929827
33,3.007546829,2.643539754,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 1]",85.8,107.0399034
26,2.253006567,5.548023364,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 2, 1]",67.6,83.94643974
0,0.124926859,4.426876666,2.6,[],0,0
18,1.468071212,5.328689905,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 4, 2, 1]",46.8,92.59751606
2,0.378195112,4.715823032,2.6,"[2, 4]",5.2,0.031450748
18,1.536057075,0.115525721,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 0, 4]",46.8,36.59004211
2,0.334414066,0.200447341,2.6,"[4, 1]",5.2,0.047287226
