Case,gate length,Theta,Phi,dt,DL combination,DL fidelity,DL real time,DL computing time
case5413,35,0.012856641082911737,0.07351632260634434,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.99996,91.0,0.10201
case5414,35,1.7715831580647448,1.2780779941798655,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3],0.40028,91.0,0.10594
case5415,35,1.2122117384310969,1.3546479405916674,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 1 3 3 2 2 4 4 1 1 3],0.67547,91.0,0.09987
case5416,35,0.9931674097905204,5.263683637338977,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 1 1 3 3 2 2 4 4],0.77302,91.0,0.0832
case5417,35,2.4663258238696355,0.46035929899858946,2.6,[0 0 0 0 0 0 0 0 0 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1],0.10973,91.0,0.12337
case5418,35,1.4743961799864118,3.4330674649123565,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 2 2 4 4 1 1 3 2 4 4 1 4 1 1 3 2 2],0.54813,91.0,0.1951
case5419,35,2.425132824405048,5.0640022252691335,2.6,[0 0 0 0 0 0 0 0 0 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4],0.12293,91.0,0.13582
case5420,35,0.9810051944340578,2.8316659982473746,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 2 2 4 4 1 1 1 3 3],0.77809,91.0,0.10613
case5421,35,0.6126566182652669,3.32778440920078,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 4 1 3 3 2 0],0.90906,91.0,0.11142
case5422,35,3.1025139317444497,2.8153403364150984,2.6,[0 0 0 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 1],0.00038,91.0,0.11299
case5423,35,1.5891054645574807,3.6891402508421267,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 3],0.49085,91.0,0.09876
case5424,35,2.2483200887016044,0.30199245860330937,2.6,[0 0 0 0 0 0 0 0 4 1 1 3 3 2 2 4 4 1 1 1 3 2 2 2 4 1 1 3 3 2 2 2 0 4 3],0.18657,91.0,0.10159
case5425,35,0.08511039298220695,3.239947660917927,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.99819,91.0,0.09598
case5426,35,0.24337657548908098,0.4924507497937287,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],0.98526,91.0,0.09915
case5427,35,1.9373495672105707,3.3140474925240775,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2],0.3208,91.0,0.15595
case5428,35,2.5262803761851513,2.283923196277597,2.6,[0 0 0 0 0 0 0 0 0 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3],0.0917,91.0,0.09011
case5429,35,0.45599656429090046,4.810331045645803,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 4],0.94891,91.0,0.09422
case5430,35,1.3443223054604856,3.3608707603948207,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 4 1 1 3 3 2 4 4 4 1 3 3 2 3],0.61227,91.0,0.10116
case5431,35,0.7040211390171335,2.270541197162737,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 4 1 0 3 2],0.88112,91.0,0.13988
case5432,35,2.6409993391487543,5.688581616163239,2.6,[0 0 0 0 0 0 0 2 2 4 4 1 1 1 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4],0.06135,91.0,0.12021
case5433,35,0.5911453909166741,1.9489393440080987,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 1 1 3],0.91515,91.0,0.16627
case5434,35,0.32211939516657645,4.07836902464612,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2],0.97428,91.0,0.10607
case5435,35,1.210562314242451,1.6721628726149733,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 4 4 1 1 3 3 2 2 4 4 1 1 3],0.67625,91.0,0.09021
case5436,35,0.9790835773122424,3.9246423704150963,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 4 4 1 1 3 3 2 2],0.77889,91.0,0.17086
case5437,35,1.4636523433873352,0.5688903689014378,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 4 3],0.55347,91.0,0.08232
case5438,35,3.0209834849387103,3.740403875107098,2.6,[0 0 0 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 1 3],0.00363,91.0,0.08925
case5439,35,2.0352243346032686,4.054935081886327,2.6,[0 0 0 0 0 0 0 0 0 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 1 1 3 0],0.27604,91.0,0.11719
case5440,35,0.3320411543843449,6.1716130028449,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1],0.97269,91.0,0.08036
case5441,35,2.283545584959477,4.106427736471167,2.6,[0 0 0 0 0 0 0 0 0 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 3 0],0.17304,91.0,0.09284
case5442,35,1.9345862501984152,4.621681407969782,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4],0.32209,91.0,0.11726
case5443,35,2.0933407117171594,3.5314069548993157,2.6,[0 0 0 0 0 0 0 0 0 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 0 3 0],0.25046,91.0,0.17169
case5444,35,1.6991694811371516,0.15460701970064453,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 1 1],0.43599,91.0,0.14523
case5445,35,1.580823265714767,5.5383279064973685,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 0],0.49499,91.0,0.12049
case5446,35,0.23809815453288388,2.50005921261886,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3],0.98589,91.0,0.12052
case5447,35,2.3700795618002473,1.6125466564923765,2.6,[0 0 0 0 0 0 0 0 1 0 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 4 1 1],0.14157,91.0,0.11173
case5448,35,1.635300961097402,0.8586830859363882,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 4 3],0.46777,91.0,0.0977
case5449,35,0.5425201776445664,3.1724220352294004,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 2],0.92821,91.0,0.11802
case5450,35,1.154767290461236,4.126511802907381,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 2 4 4 1 1 3 3 2 2],0.70207,91.0,0.147
case5451,35,2.652705871065093,1.517427334157514,2.6,[0 0 0 0 0 0 0 0 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3],0.05857,91.0,0.27326
case5452,35,0.7752725099412845,1.0938811579329615,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 3 2 2 4 1 1 0],0.85712,91.0,0.10548
case5453,35,2.7379905608479347,3.932826060552904,2.6,[0 0 0 0 0 0 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2],0.04017,91.0,0.07952
case5454,35,1.1474285077723996,4.59253198195614,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 4 1 1 3 3 2 2 4],0.70542,91.0,0.13837
case5455,35,0.43932649365158516,5.264428570040886,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 4],0.95252,91.0,0.09902
case5456,35,2.6355733223282867,5.794477051816897,2.6,[0 0 0 0 0 0 0 2 4 4 1 1 3 3 3 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1],0.06266,91.0,0.08863
case5457,35,0.24932196976484905,5.436264381327439,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4],0.98454,91.0,0.11457
case5458,35,0.41155750578693234,4.075299683736616,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2],0.95825,91.0,0.12234
case5459,35,2.196342949908658,5.276583114867329,2.6,[0 0 0 0 0 0 0 0 0 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 0 1],0.20723,91.0,0.13444
case5460,35,1.3570277259763164,1.9769441877495337,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 1 1],0.60607,91.0,0.13426
case5461,35,2.2167919779160368,0.7597342501996693,2.6,[0 0 0 0 0 0 0 0 0 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 4 3],0.199,91.0,0.15634
case5462,35,2.8217076131143113,3.0964143890401967,2.6,[0 0 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 4 4 1 0],0.02536,91.0,0.10286
case5463,35,1.0116328957507745,5.289630051296961,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 1 1 3 3 2 2 4 4],0.76524,91.0,0.0918
case5464,35,1.3123652384068278,4.031506692408457,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 4 4 1 1 3 3 2 2 4 4 1 3 3 3 2 2],0.62778,91.0,0.15167
case5465,35,0.21122374309159736,2.3287601440281924,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.98889,91.0,0.14066
case5466,35,0.03180194914920667,5.766395778581445,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.99975,91.0,0.11528
case5467,35,0.7272603685458641,0.7506324639061834,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 3 2 2 4 0 4 0],0.8735,91.0,0.10164
case5468,35,2.3895031502783706,2.818831309356631,2.6,[0 0 0 0 0 0 0 0 0 0 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2],0.13487,91.0,0.12643
case5469,35,0.653505967597418,0.7473710040682285,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 4 1 1],0.89698,91.0,0.0947
case5470,35,0.47977686211249626,4.620230797321757,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4],0.94355,91.0,0.17485
