Case,gate length,Theta,Phi,dt,combination,total time,computing time
case1,1,1.7591314751508884,1.922343338161494,2.6,[-1],2.6,27601.024650096893
case2,18,1.6496436552578584,3.2019993954690573,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3]",46.800000000000004,14.967126846313477
case3,18,1.6115767879220886,0.8538512966417973,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3]",46.800000000000004,21.762742280960083
case4,1,1.8790756305902208,1.125824876065886,2.6,[-1],2.6,27222.974205493927
case5,19,1.6525674427069568,5.212972017075045,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1]",49.4,79.32022881507874
case6,26,2.0210991632875617,4.609727017329673,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 0, 3, 1, 2, 1]",67.60000000000001,1734.0203025341034
case7,26,1.9526332523323298,4.413181158429543,2.6,"[2, 4, 4, 1, 1, 3, 3, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 0, 3, 2]",67.60000000000001,1000.0833294391632
case8,1,1.6255265786709086,2.805439744340043,2.6,[-1],2.6,28605.99027633667
case9,18,1.6546357085976047,1.3171713003482477,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1]",46.800000000000004,37.69211983680725
case10,18,1.6128718655562326,0.7766576422837232,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3]",46.800000000000004,21.183488607406616
case11,1,1.8740398278510424,5.191514865492477,2.6,[-1],2.6,34966.74593091011
case12,18,1.7059960859107324,5.278037573314414,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",46.800000000000004,12.22927713394165
case13,26,2.0394198245354564,2.806641824371799,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 0]",67.60000000000001,1425.9422891139984
case14,26,2.040416053000269,0.5655964765055749,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 2, 3]",67.60000000000001,1178.2189633846283
case15,1,1.7483925981365702,3.3665767768500134,2.6,[-1],2.6,27912.68507552147
case16,26,1.9360979281193509,4.199407905143781,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0, 1, 1, 1, 0, 3]",67.60000000000001,7582.727157592773
case17,19,1.6375720665581326,0.1336379981091023,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 0]",49.4,43.753910541534424
case18,1,1.80893932742071,0.33880758198819305,2.6,[-1],2.6,27346.782548666
case19,18,1.6248169688564458,4.620485962073071,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4]",46.800000000000004,19.613588333129883
case20,27,1.967602537647308,4.383722545806832,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 4, 3, 4, 2, 0, 1]",70.2,31288.741593837738
case21,1,1.6848482229604944,3.5031011374819303,2.6,[-1],2.6,32228.22409272194
case22,18,1.8708851302012002,0.7038864193614374,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",46.800000000000004,12.209274053573608
case23,1,1.698552264267118,4.215125110810662,2.6,[-1],2.6,33908.120116233826
