Case,gate length,Theta,Phi,Omega,dt,combination,total time,computing time
case35,27,2.4657161659139106,5.702144910349515,1.027751148470478,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2]",70.2,30.791327238082886
case36,1,1.1179268001255458,4.420264118647509,3.2783141046343682,2.6,[-1],2.6,2190.26425242424
case37,33,2.713233392960147,1.8691002256072031,3.772806045218893,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 1, 3, 0, 0]",85.8,476.32173705101013
case38,26,1.9868634437409982,3.652004083046895,0.6344620832577742,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 3, 0, 2, 2]",67.60000000000001,1941.3896851539612
case39,26,2.1075126215510056,1.9764679029429804,5.761628237579139,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 2, 4, 4]",67.60000000000001,357.33269810676575
case40,33,2.7096661755767,5.529474988186221,0.7356595307377725,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 0, 4, 0, 1]",85.8,585.3868639469147
case41,1,1.8901158508003222,3.8745818833110337,1.1061889310928403,2.6,[-1],2.6,2136.4185831546783
case42,19,1.3640608936781329,4.529914084706567,6.055687168405482,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0, 4, 0, 0, 2]",49.4,1017.7779710292816
case43,26,2.269399250137317,4.627435182111849,5.512003506237348,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 0]",67.60000000000001,50.10056447982788
case44,1,1.9569407028115064,5.165140874106171,2.9327194748794123,2.6,[-1],2.6,2034.3093163967133
case45,5,0.5773632494507778,1.820121053277401,5.974792520293945,2.6,"[4, 4, 1, 1, 1]",13.0,2.712120294570923
case46,33,2.6976135474306946,3.816085209077836,4.087819514006243,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1, 0, 2, 2]",85.8,704.1809582710266
case47,10,0.967568100565011,2.542631755571673,3.2775608051309395,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",26.0,2.546478271484375
case48,10,0.833382554756941,4.423258800432763,1.453346240460089,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 2, 3]",26.0,8.360593795776367
case49,26,2.2196670431080863,5.623610638403429,4.222363854712891,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 2, 0]",67.60000000000001,131.213547706604
case50,11,1.0146286113359022,0.15954911372274552,3.687702570665431,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",28.6,3.945591449737549
case51,5,0.5438068032787632,2.3019686310705834,1.3857706029442083,2.6,"[1, 1, 3, 3, 2]",13.0,1.345123529434204
case52,18,1.5677185313718687,4.039368440155432,1.1462953050562599,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 2, 2, 4, 4, 1, 1, 3, 3]",46.800000000000004,49.157530307769775
case53,18,1.480806174365366,5.722584284146682,4.216380255461014,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 1, 1, 3, 3, 2, 2, 4, 4]",46.800000000000004,48.277503490448
case54,26,2.0804903926879774,0.6833844753510284,1.2726585807212858,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 0, 1]",67.60000000000001,578.1897995471954
case55,1,1.0176637935882071,4.732354617091825,0.36625730367772796,2.6,[-1],2.6,2190.662723302841
case56,26,2.48570589101458,2.2578419428582093,2.769126907265675,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",67.60000000000001,12.39389419555664
case57,18,1.5708173007218518,1.4546884150283717,4.017434095588914,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 1]",46.800000000000004,16.569863319396973
case58,33,2.8386738976340053,5.363851092777326,5.751991450243322,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 0, 4]",85.8,207.88439536094666
case59,26,2.149122953395051,5.0337231583481845,2.973323806817714,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 1, 4]",67.60000000000001,224.4055404663086
case60,1,1.5795063626081924,2.0367219409315016,0.9716768964481505,2.6,[-1],2.6,2130.469837665558
case61,18,1.266286889971915,5.942937726806701,3.2286773098491897,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 2, 0, 2, 4, 1]",46.800000000000004,690.0785207748413
case62,2,0.31142512125571226,2.3537121105869887,4.935822173008989,2.6,"[4, 1]",5.2,0.027431964874267578
case63,11,0.6271921503223914,1.3799516188589882,3.53743190286812,2.6,"[2, 2, 4, 4, 1, 1, 0, 2, 2, 3, 1]",28.6,274.25034165382385
case64,26,2.448562999187204,0.16295689250055173,4.463242785050612,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",67.60000000000001,11.75839614868164
case65,26,2.460616981212696,4.85755649953068,5.693523042680986,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",67.60000000000001,12.328732013702393
case66,10,1.0005811979187889,1.5592965379507249,2.213382264640494,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",26.0,2.7191004753112793
case67,10,0.7129526048456858,0.9607051105012434,5.833040758839456,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 3, 0]",26.0,20.031046390533447
case68,1,1.180085747430711,5.192222456906616,3.5601291078223114,2.6,[-1],2.6,2013.3759715557098
case69,18,1.5849539201736056,3.6255426771877497,2.368000695254586,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 0]",46.800000000000004,14.862470626831055
case70,1,1.957772721709854,3.6293306431513135,0.7718958541150245,2.6,[-1],2.6,2173.3322467803955
